branch_id,name,city,district,address
GY550665,Jiàn Lè Yuzhong Flagship,Chongqing,Yuzhong District,838 Bridges Street (Near Shopping Mall)
GY260917,Wēi Ěr Shì Nanshan Flagship,Shenzhen,Nanshan District,54197 Joseph Walk Suite 988 (Near Metro Station)
GY613095,Wēi Kāng Shizhong Flagship,Jinan,Shizhong District,371 Martinez Land (Near Shopping Mall)
GY172441,Jīn Shì Bǎo Shapingba Flagship,Chongqing,Shapingba District,294 Bass Fort Apt. 371 (Near Metro Station)
GY732992,Jīn Shì Bǎo Longquanyi Flagship,Chengdu,Longquanyi District,1168 Hahn Locks Apt. 195 (Near University)
GY880908,Jīn Shì Bǎo Shunde Flagship,Foshan,Shunde District,5002 Francis Ville Suite 992 (Near Shopping Mall)
GY238305,Měi Gé Fēi Hanyang Flagship,Wuhan,Hanyang District,55335 Tiffany Squares Suite 874 (Near Metro Station)
GY367011,Měi Gé Fēi Shinan Flagship,Qingdao,Shinan District,0351 Lynn Mews (Near Metro Station)
GY267185,Yī Zhào Wéi Dé Tongzhou Flagship,Beijing,Tongzhou District,0351 Roy Manors (Near University)
GY816185,Wēi Ěr Shì Nancheng Flagship,Dongguan,Nancheng District,96084 Mckinney Union Suite 559 (Near University)
GY445282,Jiàn Lè Tianhe Flagship,Guangzhou,Tianhe District,096 Warren Neck (Near Metro Station)
GY767058,Wēi Kāng Shahekou Flagship,Dalian,Shahekou District,58811 Hinton Drives Apt. 892 (Near University)
GY510295,Wēi Kāng Chenghua Flagship,Chengdu,Chenghua District,682 Robinson Tunnel Suite 958 (Near University)
GY699513,Yī Zhào Wéi Dé Beilun Flagship,Ningbo,Beilun District,8181 Maldonado Estate Apt. 831 (Near Shopping Mall)
GY214139,Yī Zhào Wéi Dé Shinan Flagship,Qingdao,Shinan District,500 Kelly Hollow (Near University)
GY241406,Jīn Shì Bǎo Guancheng Flagship,Zhengzhou,Guancheng District,70425 Knight Isle Suite 089 (Near University)
GY752655,Jiàn Lè Huiji Flagship,Zhengzhou,Huiji District,100 Cynthia Well Apt. 825 (Near University)
GY154296,Wēi Ěr Shì Yuzhong Flagship,Chongqing,Yuzhong District,19759 Harrison Circles (Near Metro Station)
GY592598,Wēi Ěr Shì Xiacheng Flagship,Hangzhou,Xiacheng District,97256 Wright Field (Near University)
GY456513,Wēi Ěr Shì Lixia Flagship,Jinan,Lixia District,8867 Matthew Mountains Apt. 872 (Near University)
GY488432,Wēi Kāng Jiangbei Flagship,Chongqing,Jiangbei District,35613 Eric Views Apt. 190 (Near University)
GY254010,Měi Gé Fēi Haizhu Flagship,Guangzhou,Haizhu District,156 Vasquez Mountains (Near Shopping Mall)
GY397360,Wēi Ěr Shì Wuzhong Flagship,Suzhou,Wuzhong District,3287 Garcia Road Apt. 903 (Near University)
GY538228,Wēi Kāng Qingyang Flagship,Chengdu,Qingyang District,4073 Kim Mall Apt. 477 (Near Shopping Mall)
GY930412,Měi Gé Fēi Fengtai Flagship,Beijing,Fengtai District,9496 Scott Knoll Suite 405 (Near University)
GY981817,Wēi Ěr Shì Qiaokou Flagship,Wuhan,Qiaokou District,5471 Garza Neck (Near University)
GY962625,Měi Gé Fēi Yanta Flagship,Xi'an,Yanta District,1480 Sean Rapid Apt. 604 (Near Metro Station)
GY424769,Wēi Kāng Huangdao Flagship,Qingdao,Huangdao District,83491 Pena Street Suite 879 (Near Metro Station)
GY983808,Měi Gé Fēi Chancheng Flagship,Foshan,Chancheng District,3801 Julie Green (Near University)
GY919743,Měi Gé Fēi Wuchang Flagship,Wuhan,Wuchang District,60357 Kayla Mall (Near Shopping Mall)
GY108267,Wēi Kāng Bao'an Flagship,Shenzhen,Bao'an District,353 Vernon Route (Near Shopping Mall)
GY109009,Wēi Ěr Shì Shapingba Flagship,Chongqing,Shapingba District,063 Hawkins Stream (Near University)
GY926866,Lì Měi Xihu Flagship,Hangzhou,Xihu District,79434 Eric Shoals Suite 779 (Near Shopping Mall)
GY134214,Yī Zhào Wéi Dé Huangpu Flagship,Shanghai,Huangpu District,0298 Thompson Flats Apt. 192 (Near Shopping Mall)
GY693439,Jiàn Lè Lixia Flagship,Jinan,Lixia District,067 Smith Course Suite 402 (Near University)
GY087507,Ào Měi Tongzhou Flagship,Beijing,Tongzhou District,83004 Katherine Squares Apt. 105 (Near Shopping Mall)
GY815476,Yī Zhào Wéi Dé Gongshu Flagship,Hangzhou,Gongshu District,8530 Christopher Knolls (Near University)
GY304792,Wēi Kāng Huqiu Flagship,Suzhou,Huqiu District,03538 Ruiz Centers Apt. 300 (Near Metro Station)
GY797264,Lì Měi Gulou Flagship,Nanjing,Gulou District,46687 Pamela Circles (Near Shopping Mall)
GY227230,Jiàn Lè Xihu Flagship,Hangzhou,Xihu District,67507 Martinez Radial Apt. 116 (Near Shopping Mall)
GY016708,Jiàn Lè Licheng Flagship,Jinan,Licheng District,43641 Adams Way (Near Shopping Mall)
GY687795,Měi Gé Fēi Wuzhong Flagship,Suzhou,Wuzhong District,178 Daniel Corner Apt. 076 (Near Metro Station)
GY386651,Lì Měi Jiulongpo Flagship,Chongqing,Jiulongpo District,709 Jones Junctions Suite 503 (Near University)
GY723558,Lì Měi Baiyun Flagship,Guangzhou,Baiyun District,28125 Perry Prairie Apt. 069 (Near Shopping Mall)
GY285855,Wēi Ěr Shì Fengtai Flagship,Beijing,Fengtai District,6583 Rebecca Land (Near Shopping Mall)
GY614573,Wēi Ěr Shì Jianye Flagship,Nanjing,Jianye District,340 Troy Road (Near Metro Station)
GY411712,Jīn Shì Bǎo Nanhai Flagship,Foshan,Nanhai District,74355 Anderson Underpass Suite 354 (Near Metro Station)
GY319716,Lì Měi Huangpu Flagship,Guangzhou,Huangpu District,200 Robert Inlet (Near Metro Station)
GY837054,Wēi Ěr Shì Jinshui Flagship,Zhengzhou,Jinshui District,4470 Smith Loop Apt. 135 (Near Shopping Mall)
GY523557,Jiàn Lè Jinjiang Flagship,Chengdu,Jinjiang District,9281 Susan Mills Apt. 605 (Near Shopping Mall)
GY418725,Lì Měi Jiangbei Flagship,Chongqing,Jiangbei District,1912 Peter Stream Suite 203 (Near University)
GY460189,Jiàn Lè Heping Flagship,Tianjin,Heping District,966 Brady Trail Apt. 459 (Near Metro Station)
GY461570,Měi Gé Fēi Wujiang Flagship,Suzhou,Wujiang District,7009 Silva Motorway Apt. 149 (Near University)
GY306963,Wēi Ěr Shì Yuzhong Flagship,Chongqing,Yuzhong District,67191 Alicia Squares (Near Shopping Mall)
GY636029,Lì Měi Jiulongpo Flagship,Chongqing,Jiulongpo District,813 Christopher Locks (Near Shopping Mall)
GY236435,Wēi Kāng Futian Flagship,Shenzhen,Futian District,29999 Alyssa Brooks Apt. 656 (Near Metro Station)
GY158382,Jīn Shì Bǎo Gaoming Flagship,Foshan,Gaoming District,4677 Ryan Terrace (Near University)
GY061918,Ào Měi Xicheng Flagship,Beijing,Xicheng District,06700 Frank Island (Near Metro Station)
GY916730,Ào Měi Xihu Flagship,Hangzhou,Xihu District,387 Olivia Square Apt. 343 (Near Shopping Mall)
GY372155,Ào Měi Baqiao Flagship,Xi'an,Baqiao District,91186 Scott Ports Suite 456 (Near Metro Station)
GY381068,Wēi Ěr Shì Weiyang Flagship,Xi'an,Weiyang District,73613 Mullins Brook Suite 598 (Near Shopping Mall)
GY104972,Ào Měi Jianggan Flagship,Hangzhou,Jianggan District,97611 Veronica Lights Suite 728 (Near Shopping Mall)
GY517270,Jiàn Lè Gusu Flagship,Suzhou,Gusu District,9623 Phillips Circle Suite 673 (Near University)
GY092753,Yī Zhào Wéi Dé Haizhu Flagship,Guangzhou,Haizhu District,02891 Marisa Coves Apt. 359 (Near Shopping Mall)
GY999073,Ào Měi Tong'an Flagship,Xiamen,Tong'an District,179 Lang Ranch Apt. 184 (Near University)
GY172723,Yī Zhào Wéi Dé Yantian Flagship,Shenzhen,Yantian District,54338 Arnold Stream Suite 835 (Near University)
GY713024,Jīn Shì Bǎo Nan'an Flagship,Chongqing,Nan'an District,13301 Smith Wells (Near University)
GY351601,Měi Gé Fēi Chenghua Flagship,Chengdu,Chenghua District,6472 Karen Port Suite 595 (Near Metro Station)
GY661179,Jīn Shì Bǎo Erqi Flagship,Zhengzhou,Erqi District,80355 Leach Manor (Near Shopping Mall)
GY797751,Wēi Kāng Nancheng Flagship,Dongguan,Nancheng District,896 Chapman Lane (Near University)
GY465252,Yī Zhào Wéi Dé Liwan Flagship,Guangzhou,Liwan District,082 James Point (Near Shopping Mall)
GY910096,Wēi Ěr Shì Binjiang Flagship,Hangzhou,Binjiang District,4515 Lewis Isle (Near University)
GY991564,Wēi Ěr Shì Xiacheng Flagship,Hangzhou,Xiacheng District,1994 Moore Circles Suite 447 (Near University)
GY270728,Wēi Kāng Gongshu Flagship,Hangzhou,Gongshu District,84513 Bennett Mews (Near University)
GY544543,Wēi Kāng Luohu Flagship,Shenzhen,Luohu District,7508 Moore Lake Suite 394 (Near University)
GY225043,Wēi Kāng Ganjingzi Flagship,Dalian,Ganjingzi District,793 Murray Turnpike Apt. 193 (Near Metro Station)
GY069008,Jiàn Lè Wuchang Flagship,Wuhan,Wuchang District,0315 Hoffman Mill Suite 957 (Near University)
GY810977,Ào Měi Wujiang Flagship,Suzhou,Wujiang District,4692 Adams Roads Suite 084 (Near Metro Station)
GY060945,Wēi Kāng Changning Flagship,Shanghai,Changning District,8302 Jeff Ridge Suite 171 (Near University)
GY400211,Yī Zhào Wéi Dé Fengtai Flagship,Beijing,Fengtai District,7032 Rogers Neck Suite 569 (Near Metro Station)
GY165304,Jiàn Lè Ganjingzi Flagship,Dalian,Ganjingzi District,36243 Thomas Ports Apt. 377 (Near Shopping Mall)
GY939009,Jīn Shì Bǎo Shijingshan Flagship,Beijing,Shijingshan District,206 Jennifer Villages Apt. 701 (Near Metro Station)
GY242722,Yī Zhào Wéi Dé Jianggan Flagship,Hangzhou,Jianggan District,4080 Brown Trail Suite 600 (Near University)
GY904171,Wēi Kāng Bao'an Flagship,Shenzhen,Bao'an District,39407 Carlos Shoal Apt. 047 (Near University)
GY777101,Jīn Shì Bǎo Haidian Flagship,Beijing,Haidian District,92413 Shannon Views Suite 552 (Near Shopping Mall)
GY246616,Wēi Ěr Shì Zhongshan Flagship,Dalian,Zhongshan District,74495 Christensen Mission (Near University)
GY401706,Yī Zhào Wéi Dé Xincheng Flagship,Xi'an,Xincheng District,11298 Johnson Mission (Near Metro Station)
GY535554,Wēi Ěr Shì Huiji Flagship,Zhengzhou,Huiji District,2475 Sarah Lock Apt. 398 (Near Metro Station)
GY722359,Jiàn Lè Tongzhou Flagship,Beijing,Tongzhou District,72336 Crystal Hollow Suite 692 (Near University)
GY596074,Yī Zhào Wéi Dé Shinan Flagship,Qingdao,Shinan District,456 Terrell Field (Near Metro Station)
GY356059,Ào Měi Yanta Flagship,Xi'an,Yanta District,76433 Kathleen Knolls (Near University)
GY055109,Jīn Shì Bǎo Yuexiu Flagship,Guangzhou,Yuexiu District,0160 Cardenas Coves Apt. 534 (Near Shopping Mall)
GY014722,Yī Zhào Wéi Dé Haidian Flagship,Beijing,Haidian District,152 Julia Trace (Near Metro Station)
GY603770,Ào Měi Weiyang Flagship,Xi'an,Weiyang District,378 Peter Road Apt. 075 (Near University)
GY092829,Wēi Ěr Shì Shahekou Flagship,Dalian,Shahekou District,98896 Fry Plaza Apt. 488 (Near Metro Station)
GY588571,Wēi Ěr Shì Dongcheng Flagship,Dongguan,Dongcheng District,34176 Claudia Forge (Near Metro Station)
GY375318,Jīn Shì Bǎo Chancheng Flagship,Foshan,Chancheng District,4932 Diaz Harbor (Near Metro Station)
GY681158,Měi Gé Fēi Yantian Flagship,Shenzhen,Yantian District,54365 Williams Flat Suite 357 (Near Metro Station)
GY926671,Yī Zhào Wéi Dé Shijingshan Flagship,Beijing,Shijingshan District,3693 Ortiz Lodge (Near University)
GY929665,Wēi Kāng Hongkou Flagship,Shanghai,Hongkou District,038 Kim Roads (Near University)
GY069541,Ào Měi Huiji Flagship,Zhengzhou,Huiji District,83240 Jeffrey Radial Apt. 103 (Near University)
GY139886,Wēi Kāng Huangpu Flagship,Guangzhou,Huangpu District,08090 Whitaker Ports Apt. 735 (Near Shopping Mall)
GY079541,Jiàn Lè Jinjiang Flagship,Chengdu,Jinjiang District,005 Castillo Dam (Near Metro Station)
GY355492,Yī Zhào Wéi Dé Qiaokou Flagship,Wuhan,Qiaokou District,48372 Anderson Forge Apt. 534 (Near Shopping Mall)
GY014429,Wēi Kāng Nanshan Flagship,Shenzhen,Nanshan District,005 Martinez Green (Near Metro Station)
GY600932,Lì Měi Haicang Flagship,Xiamen,Haicang District,67695 Garcia Lane Suite 645 (Near Shopping Mall)
GY356349,Měi Gé Fēi Shapingba Flagship,Chongqing,Shapingba District,3697 Bradley Vista (Near Metro Station)
GY286922,Ào Měi Kaifu Flagship,Changsha,Kaifu District,2808 Knapp Ranch Apt. 672 (Near Shopping Mall)
GY823410,Yī Zhào Wéi Dé Wuchang Flagship,Wuhan,Wuchang District,788 Nicole Walks (Near Metro Station)
GY051525,Jīn Shì Bǎo Zhongyuan Flagship,Zhengzhou,Zhongyuan District,37591 Christine Drives (Near Shopping Mall)
GY639740,Jiàn Lè Bao'an Flagship,Shenzhen,Bao'an District,112 Brown Extension Apt. 666 (Near Shopping Mall)
GY521102,Jiàn Lè Wuhou Flagship,Chengdu,Wuhou District,83077 Cruz Plaza Suite 167 (Near University)
GY934227,Yī Zhào Wéi Dé Bao'an Flagship,Shenzhen,Bao'an District,97925 Taylor Summit Suite 875 (Near Shopping Mall)
GY907898,Wēi Kāng Longquanyi Flagship,Chengdu,Longquanyi District,462 Shannon Roads Apt. 375 (Near Shopping Mall)
GY672104,Wēi Ěr Shì Chenghua Flagship,Chengdu,Chenghua District,3924 Melissa Track (Near Metro Station)
GY678047,Jīn Shì Bǎo Shijingshan Flagship,Beijing,Shijingshan District,42671 Johnson Rue (Near Shopping Mall)
GY031351,Měi Gé Fēi Nankai Flagship,Tianjin,Nankai District,1739 Mary Oval (Near Shopping Mall)
GY941166,Yī Zhào Wéi Dé Shizhong Flagship,Jinan,Shizhong District,41935 Hill Mews (Near University)
GY325258,Yī Zhào Wéi Dé Hongkou Flagship,Shanghai,Hongkou District,909 Emily Brook (Near Metro Station)
GY231794,Yī Zhào Wéi Dé Jianghan Flagship,Wuhan,Jianghan District,011 Allen Branch Suite 659 (Near Metro Station)
GY365485,Wēi Kāng Huangpu Flagship,Guangzhou,Huangpu District,117 Kenneth Freeway (Near Metro Station)
GY162142,Měi Gé Fēi Xiang'an Flagship,Xiamen,Xiang'an District,1251 Mendez Stream (Near University)
GY164968,Wēi Ěr Shì Zhongshan Flagship,Dalian,Zhongshan District,3380 Pratt Harbors (Near University)
GY164765,Jiàn Lè Chengyang Flagship,Qingdao,Chengyang District,43468 Erickson Groves Suite 834 (Near Shopping Mall)
GY180669,Ào Měi Fenghua Flagship,Ningbo,Fenghua District,7584 Brittany Views (Near University)
GY628303,Yī Zhào Wéi Dé Hebei Flagship,Tianjin,Hebei District,2459 Woods Drive (Near Shopping Mall)
GY851045,Jīn Shì Bǎo Liwan Flagship,Guangzhou,Liwan District,13860 Martin Way Suite 156 (Near Shopping Mall)
GY508075,Jiàn Lè Shizhong Flagship,Jinan,Shizhong District,1830 Tricia Lodge Apt. 192 (Near Shopping Mall)
GY601717,Měi Gé Fēi Fenghua Flagship,Ningbo,Fenghua District,02684 Jacob Mount Suite 989 (Near Metro Station)
GY362747,Lì Měi Huqiu Flagship,Suzhou,Huqiu District,8351 Clark Drive Apt. 856 (Near University)
GY192714,Wēi Ěr Shì Binhu Flagship,Wuxi,Binhu District,94261 Megan Stravenue (Near Metro Station)
GY424379,Jīn Shì Bǎo Wuchang Flagship,Wuhan,Wuchang District,62718 Kline Groves (Near University)
GY352439,Lì Měi Futian Flagship,Shenzhen,Futian District,755 Green Mills (Near Metro Station)
GY729197,Wēi Ěr Shì Zhongshan Flagship,Dalian,Zhongshan District,6738 Andre Crossroad Apt. 403 (Near University)
GY697879,Wēi Kāng Futian Flagship,Shenzhen,Futian District,16251 Linda Place Apt. 779 (Near University)
GY229648,Měi Gé Fēi Gaoming Flagship,Foshan,Gaoming District,12427 Barnes Square Apt. 018 (Near Metro Station)
GY597873,Jīn Shì Bǎo Jing'an Flagship,Shanghai,Jing'an District,6960 Jacobs Lakes Apt. 806 (Near Shopping Mall)
GY298378,Ào Měi Wuzhong Flagship,Suzhou,Wuzhong District,00043 Catherine Parkways Suite 199 (Near University)
GY873199,Wēi Kāng Changning Flagship,Shanghai,Changning District,757 Lisa Ramp (Near Shopping Mall)
GY943545,Měi Gé Fēi Licheng Flagship,Jinan,Licheng District,9454 Lisa Ferry (Near University)
GY277022,Jiàn Lè Xinwu Flagship,Wuxi,Xinwu District,683 Jessica Village (Near Metro Station)
GY146310,Lì Měi Yuexiu Flagship,Guangzhou,Yuexiu District,451 Nichole Pass (Near Metro Station)
GY194251,Jiàn Lè Gusu Flagship,Suzhou,Gusu District,758 Kennedy Mews (Near Shopping Mall)
GY539748,Yī Zhào Wéi Dé Lvshunkou Flagship,Dalian,Lvshunkou District,126 Zachary Ferry (Near University)
GY597722,Měi Gé Fēi Jinshui Flagship,Zhengzhou,Jinshui District,0530 Christopher Village Suite 440 (Near Metro Station)
GY674814,Wēi Ěr Shì Hongkou Flagship,Shanghai,Hongkou District,279 Ramirez Green (Near Metro Station)
GY976894,Měi Gé Fēi Yuexiu Flagship,Guangzhou,Yuexiu District,075 Khan Loop Suite 294 (Near University)
GY899440,Wēi Ěr Shì Haizhu Flagship,Guangzhou,Haizhu District,778 Jessica Track Suite 570 (Near Metro Station)
GY453307,Wēi Kāng Beibei Flagship,Chongqing,Beibei District,751 Wilson Springs (Near Metro Station)
GY274837,Jiàn Lè Qinhuai Flagship,Nanjing,Qinhuai District,625 Tyler Drive (Near Shopping Mall)
GY629605,Wēi Ěr Shì Futian Flagship,Shenzhen,Futian District,5223 Cynthia Circles Suite 477 (Near University)
GY034910,Wēi Kāng Huangpu Flagship,Guangzhou,Huangpu District,3705 Martin Well (Near Shopping Mall)
GY789462,Lì Měi Xicheng Flagship,Beijing,Xicheng District,0220 Cortez Expressway Apt. 636 (Near Shopping Mall)
GY958698,Wēi Kāng Hongkou Flagship,Shanghai,Hongkou District,2299 Debra Oval Suite 483 (Near Metro Station)
GY809011,Jīn Shì Bǎo Yuhuatai Flagship,Nanjing,Yuhuatai District,41785 Craig Parks (Near Shopping Mall)
GY268201,Wēi Ěr Shì Haidian Flagship,Beijing,Haidian District,602 Bryan Ways Suite 147 (Near Metro Station)
GY845841,Jiàn Lè Gulou Flagship,Nanjing,Gulou District,65052 Tiffany Circle Apt. 919 (Near Shopping Mall)
GY057831,Měi Gé Fēi Yuelu Flagship,Changsha,Yuelu District,130 Steven Ports Apt. 044 (Near University)
GY881808,Wēi Ěr Shì Chaoyang Flagship,Beijing,Chaoyang District,9864 Cordova Path (Near Metro Station)
GY987472,Wēi Kāng Chenghua Flagship,Chengdu,Chenghua District,17813 Randall Divide (Near University)
GY554797,Wēi Ěr Shì Yuexiu Flagship,Guangzhou,Yuexiu District,134 Norma Valley (Near Shopping Mall)
GY678661,Yī Zhào Wéi Dé Jiangbei Flagship,Ningbo,Jiangbei District,898 Bruce Field (Near Metro Station)
GY162572,Yī Zhào Wéi Dé Huangpu Flagship,Shanghai,Huangpu District,9455 Pierce Crossroad Suite 487 (Near University)
GY125459,Jiàn Lè Yuexiu Flagship,Guangzhou,Yuexiu District,94618 Daniel Crest (Near Metro Station)
GY987462,Yī Zhào Wéi Dé Tongzhou Flagship,Beijing,Tongzhou District,1070 Janet Fort Apt. 897 (Near University)
GY271884,Lì Měi Dongcheng Flagship,Beijing,Dongcheng District,53163 Marshall Plains Apt. 816 (Near University)
GY818689,Wēi Kāng Gaoming Flagship,Foshan,Gaoming District,5737 David Course Suite 625 (Near University)
GY839193,Jiàn Lè Jianggan Flagship,Hangzhou,Jianggan District,092 Hughes Flats Apt. 509 (Near University)
GY034591,Yī Zhào Wéi Dé Huangpu Flagship,Shanghai,Huangpu District,8937 Thomas Square Apt. 718 (Near Shopping Mall)
GY827291,Wēi Kāng Longgang Flagship,Shenzhen,Longgang District,12256 Eric Village (Near Metro Station)
GY444050,Jīn Shì Bǎo Bao'an Flagship,Shenzhen,Bao'an District,514 Grant Square (Near University)
GY628631,Ào Měi Jinjiang Flagship,Chengdu,Jinjiang District,2586 Ricky Ferry (Near Shopping Mall)
GY464616,Wēi Kāng Liangxi Flagship,Wuxi,Liangxi District,1006 Rachael Turnpike (Near Metro Station)
GY507652,Měi Gé Fēi Jianggan Flagship,Hangzhou,Jianggan District,881 Sabrina Island (Near Shopping Mall)
GY140873,Měi Gé Fēi Jiangbei Flagship,Chongqing,Jiangbei District,4352 Avila Harbor (Near University)
GY170177,Wēi Ěr Shì Fengtai Flagship,Beijing,Fengtai District,960 Thompson Harbor Apt. 341 (Near Metro Station)
GY675315,Jiàn Lè Longgang Flagship,Shenzhen,Longgang District,097 Thomas Street (Near Metro Station)
GY585238,Wēi Ěr Shì Tianhe Flagship,Guangzhou,Tianhe District,3350 Mclaughlin Forks (Near Shopping Mall)
GY302687,Yī Zhào Wéi Dé Beilun Flagship,Ningbo,Beilun District,0270 Bell Haven Apt. 512 (Near University)
GY673528,Jīn Shì Bǎo Xicheng Flagship,Beijing,Xicheng District,2868 Stanley Summit (Near Metro Station)
GY543074,Yī Zhào Wéi Dé Hebei Flagship,Tianjin,Hebei District,36345 Wendy Ridges Apt. 491 (Near Shopping Mall)
GY544821,Wēi Kāng Fengtai Flagship,Beijing,Fengtai District,631 Deanna Manor Apt. 994 (Near Metro Station)
GY709666,Ào Měi Guancheng Flagship,Zhengzhou,Guancheng District,4777 Diaz Crossroad (Near Metro Station)
GY174739,Wēi Ěr Shì Jiangbei Flagship,Chongqing,Jiangbei District,3513 Ewing Crescent Apt. 278 (Near Metro Station)
GY906710,Wēi Kāng Shahekou Flagship,Dalian,Shahekou District,02260 Yang Islands Suite 288 (Near Shopping Mall)
GY775398,Yī Zhào Wéi Dé Tong'an Flagship,Xiamen,Tong'an District,7141 David Parkways Suite 020 (Near University)
GY974567,Wēi Kāng Hongkou Flagship,Shanghai,Hongkou District,7709 King Extension (Near Shopping Mall)
GY664540,Měi Gé Fēi Tianxin Flagship,Changsha,Tianxin District,1993 Robinson Path Apt. 999 (Near Metro Station)
GY598203,Wēi Kāng Liwan Flagship,Guangzhou,Liwan District,538 Trevor Underpass Apt. 954 (Near Metro Station)
